category,to_geocode,google_maps_address,latitude,longitude,electricity_kwh_2014,electricity_kwh_2015,electricity_kwh_2016,electricity_kwh_2017,electricity_kwh_2018,gas_kwh_2014,gas_kwh_2015,gas_kwh_2016,gas_kwh_2017,gas_kwh_2018
Healthcare Building,children's health ireland (chi) at crumlin Dublin 12 ireland,"Cooley Rd, Crumlin, Dublin, D12 N512, Ireland",53.3265089,-6.3175373,6841606.0,6817571.5,7219116.0,7254798.0,7237559.0,2057755.0214285715,2214559.2157142856,2253646.742857143,2211963.5185714285,2261430.1
Healthcare Building,children's health ireland (chi) at crumlin Dublin 12 ireland,"Cooley Rd, Crumlin, Dublin, D12 N512, Ireland",53.3265089,-6.3175373,6841606.0,6817571.5,7219116.0,7254798.0,7237559.0,2057755.0214285715,2214559.2157142856,2253646.742857143,2211963.5185714285,2261430.1
Healthcare Building,children's health ireland (chi) at crumlin Dublin 12 ireland,"Cooley Rd, Crumlin, Dublin, D12 N512, Ireland",53.3265089,-6.3175373,6841606.0,6817571.5,7219116.0,7254798.0,7237559.0,2057755.0214285715,2214559.2157142856,2253646.742857143,2211963.5185714285,2261430.1
Healthcare Building,children's sunshine home/laura lynn Dublin 18 ireland,"LAURALYNN HOUSE, Leopardstown Rd, Galloping Green South, Dublin 18, D18 X063, Ireland",53.2734361,-6.1962812,287680.03,279285.8,268674.88,271938.05,302516.0,326775.12,314200.52,262704.255,318922.31,0.0
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
Healthcare Building,children's university hospital Dublin 1 ireland,"Temple St, Rotunda, Dublin 1, D01 XD99, Ireland",53.356787,-6.2620292,259685.285,265776.394375,266643.0775,277395.03125,283398.4375,1375528.714,1411458.982,1447978.074,1424763.842,1510390.882
